SDCIT,400,291,0.2,1,0.744
KCIT,400,291,0.2,1,0.4594
SDCIT,400,291,0.5,1,0.534
KCIT,400,291,0.5,1,0.2538
SDCIT,400,291,1,1,0.302
KCIT,400,291,1,1,0.1846
SDCIT,400,291,2,1,0.116
KCIT,400,291,2,1,0.1312
SDCIT,400,291,5,1,0.072
KCIT,400,291,5,1,0.1784
SDCIT,400,291,10,1,0.062
KCIT,400,291,10,1,0.1802
SDCIT,400,291,20,1,0.064
KCIT,400,291,20,1,0.2164
SDCIT,400,27,0.05,1,0.898
KCIT,400,27,0.05,1,0.845
SDCIT,400,27,0.1,1,0.906
KCIT,400,27,0.1,1,0.8112
SDCIT,400,27,0.2,1,0.844
KCIT,400,27,0.2,1,0.6488
SDCIT,400,27,0.5,1,0.612
KCIT,400,27,0.5,1,0.4488
SDCIT,400,27,1,1,0.372
KCIT,400,27,1,1,0.2078
SDCIT,400,27,2,1,0.164
KCIT,400,27,2,1,0.1092
SDCIT,400,27,5,1,0.118
KCIT,400,27,5,1,0.0956
SDCIT,400,27,10,1,0.214
KCIT,400,27,10,1,0.2014
SDCIT,400,27,20,1,0.342
KCIT,400,27,20,1,0.301
SDCIT,200,184,0.05,1,0.228
KCIT,200,184,0.05,1,0.6534
SDCIT,200,184,0.1,1,0.242
KCIT,200,184,0.1,1,0.647
SDCIT,200,184,0.2,1,0.286
KCIT,200,184,0.2,1,0.6732
SDCIT,200,184,0.5,1,0.406
KCIT,200,184,0.5,1,0.7552
SDCIT,200,184,1,1,0.574
KCIT,200,184,1,1,0.735
SDCIT,200,184,2,1,0.526
KCIT,200,184,2,1,0.4324
SDCIT,200,184,5,1,0.028
KCIT,200,184,5,1,0.2202
SDCIT,200,184,10,1,0.028
KCIT,200,184,10,1,0.2388
SDCIT,200,184,20,1,0.058
KCIT,200,184,20,1,0.2808
SDCIT,400,211,0.05,1,0.92
KCIT,400,211,0.05,1,0.7688
SDCIT,400,211,0.1,1,0.926
KCIT,400,211,0.1,1,0.8074
SDCIT,400,211,0.2,1,0.81
KCIT,400,211,0.2,1,0.8662
SDCIT,400,211,0.5,1,0.886
KCIT,400,211,0.5,1,0.8852
SDCIT,400,211,1,1,0.846
KCIT,400,211,1,1,0.9024
SDCIT,400,211,2,1,0.798
KCIT,400,211,2,1,0.8652
SDCIT,400,211,5,1,0.52
KCIT,400,211,5,1,0.4566
SDCIT,400,211,10,1,0.282
KCIT,400,211,10,1,0.3458
SDCIT,400,211,20,1,0.238
KCIT,400,211,20,1,0.327
SDCIT,400,130,0.05,1,0.422
KCIT,400,130,0.05,1,0.4414
SDCIT,400,130,0.1,1,0.428
KCIT,400,130,0.1,1,0.4556
SDCIT,400,130,0.2,1,0.416
KCIT,400,130,0.2,1,0.4912
SDCIT,400,130,0.5,1,0.406
KCIT,400,130,0.5,1,0.5474
SDCIT,400,130,1,1,0.39
KCIT,400,130,1,1,0.5068
SDCIT,400,130,2,1,0.392
KCIT,400,130,2,1,0.4424
SDCIT,400,130,5,1,0.65
KCIT,400,130,5,1,0.394
SDCIT,400,130,10,1,0.956
KCIT,400,130,10,1,0.453
SDCIT,400,130,20,1,0.998
KCIT,400,130,20,1,0.4282
SDCIT,200,33,0.05,1,0.396
KCIT,200,33,0.05,1,0.6376
SDCIT,200,33,0.1,1,0.38
KCIT,200,33,0.1,1,0.6516
SDCIT,200,33,0.2,1,0.374
KCIT,200,33,0.2,1,0.666
SDCIT,200,33,0.5,1,0.46
KCIT,200,33,0.5,1,0.6744
SDCIT,200,33,1,1,0.63
KCIT,200,33,1,1,0.7016
SDCIT,200,33,2,1,0.77
KCIT,200,33,2,1,0.8274
SDCIT,200,33,5,1,0.846
KCIT,200,33,5,1,0.6664
SDCIT,200,33,10,1,0.952
KCIT,200,33,10,1,0.5366
SDCIT,200,33,20,1,0.98
KCIT,200,33,20,1,0.3572
SDCIT,200,9,0.05,1,0.348
KCIT,200,9,0.05,1,0.5562
SDCIT,200,9,0.1,1,0.368
KCIT,200,9,0.1,1,0.574
SDCIT,200,9,0.2,1,0.422
KCIT,200,9,0.2,1,0.515
SDCIT,200,9,0.5,1,0.51
KCIT,200,9,0.5,1,0.5032
SDCIT,200,9,1,1,0.674
KCIT,200,9,1,1,0.6264
SDCIT,200,9,2,1,0.936
KCIT,200,9,2,1,0.7014
SDCIT,200,9,5,1,1.0
KCIT,200,9,5,1,0.5842
SDCIT,200,9,10,1,1.0
KCIT,200,9,10,1,0.4122
SDCIT,200,9,20,1,0.962
KCIT,200,9,20,1,0.338
SDCIT,400,131,0.05,1,0.254
KCIT,400,131,0.05,1,0.3496
SDCIT,400,131,0.1,1,0.26
KCIT,400,131,0.1,1,0.3874
SDCIT,400,131,0.2,1,0.282
KCIT,400,131,0.2,1,0.4196
SDCIT,400,131,0.5,1,0.346
KCIT,400,131,0.5,1,0.4938
SDCIT,400,131,1,1,0.406
KCIT,400,131,1,1,0.5796
SDCIT,400,131,2,1,0.568
KCIT,400,131,2,1,0.6078
SDCIT,400,131,5,1,0.868
KCIT,400,131,5,1,0.7314
SDCIT,400,131,10,1,0.97
KCIT,400,131,10,1,0.6494
SDCIT,400,131,20,1,0.98
KCIT,400,131,20,1,0.5234
SDCIT,400,208,0.05,1,0.472
KCIT,400,208,0.05,1,0.618
SDCIT,400,208,0.1,1,0.488
KCIT,400,208,0.1,1,0.6686
SDCIT,400,208,0.2,1,0.526
KCIT,400,208,0.2,1,0.71
SDCIT,400,208,0.5,1,0.644
KCIT,400,208,0.5,1,0.837
SDCIT,400,208,1,1,0.678
KCIT,400,208,1,1,0.8654
SDCIT,400,208,2,1,0.608
KCIT,400,208,2,1,0.7878
SDCIT,400,208,5,1,0.39
